;TOTAL POR GÊNERO (10 MAIORES CONSUMIDORES DA INDÚSTRIA);24 - METALURGIA;10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;20 - FABRICAÇÃO DE PRODUTOS QUÍMICOS;23 - FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;07 - EXTRAÇÃO DE MINERAIS METÁLICOS;22 - FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO;17 - FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL;29 - FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS;25 - FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS
mar/20;11543460,53;3277356,298;1910444,099;1478322,368;1009164,91;974579,687;789632,265;734457,905;523943,694;508356,527;337202,773
abr/20;10212276,79;2922301,69;1832774,641;1384907,681;797840,51;948682,612;650246,775;730047,255;319922,081;352209,033;273344,516
mai/20;10284525,11;3111620,561;1767544,883;1315224,631;959184,324;949054,354;616929,793;704429,305;304691,092;299967,008;255879,155
jun/20;10381546,98;3023718,286;1750561,04;1335502,985;1060056,797;864435,772;690530,723;660575,069;377037,869;333748,985;285379,454
jul/20;11389565,34;3277634,566;1847503,885;1454101,12;1154797,463;958086,586;776277,837;693068,801;456025,122;460309,166;311760,793
ago/20;11761684,37;3442661,544;1849919,067;1400217,089;1212626,306;980183,503;825949,397;675825,422;505688,456;533334,566;335279,017
set/20;11887426,67;3393725,316;1908856,165;1447737,754;1211530,738;919861,554;840415,27;737921,798;526034,785;554803,806;346539,488
out/20;12327281,87;3593846,926;1935705,599;1502599,87;1252009,52;950195,849;867674,819;742960,731;536672,286;590659,728;354956,542
nov/20;12034262,13;3431973,596;1883481,925;1493249,645;1204133,692;948443,176;867298,21;715780,96;559581,287;573927,279;356392,362
dez/20;11935629,92;3471148,573;1876487,71;1503101,362;1149339,484;1004765,215;808061,493;712946,64;541072,036;524832,407;343874,996
jan/21;12198113,32;3581383,104;1918957,312;1558312,934;1157783,952;1022738,769;818618,207;732967,609;543052,864;532865,788;331432,777
fev/21;11724905,73;3354065,562;1853787,707;1517348,85;1102073,44;934186,664;828097,006;701535,465;539812,108;553428,411;340570,52
mar/21;12566506,43;3658465,197;1988261,253;1579964,217;1193788,742;1036114,274;848534,257;746409,802;568125,951;582640,344;364202,391
abr/21;12471594,31;3644720,697;1950189,279;1600212,647;1206141,293;1020618,979;840991,287;720288,671;560204,134;563067,023;365160,297
mai/21;12633347,15;3790500,496;1933838,688;1623299,807;1203046,202;1076446,542;806471,564;756724,466;546541,466;540047,802;356430,115
jun/21;12362449,62;3649196,149;1872268,766;1571382,606;1229954,183;1049922,355;805473,464;747616,963;535942,609;541586,968;359105,56
jul/21;12611067,65;3697036,236;1919052,281;1587498,116;1279094,49;1090047,65;829927,593;742717,319;536055,705;569017,515;360620,747
ago/21;12664233,72;3684728,26;1949879,138;1608941,431;1278008,375;1058997,758;843760,849;743362,148;536602,765;593010,417;366942,583
set/21;12434078,39;3577010,402;2014812,166;1542704,828;1228296,42;1002989,036;847623,534;720383,432;546424,862;588731,851;365101,854
out/21;12744374,69;3796459,789;1975570,352;1604162,776;1263144,027;1044467,583;850111,727;742548,322;535036,133;572479,516;360394,468
nov/21;12686482,37;3679097,611;2011651,463;1583656,12;1216201,099;1070465,222;844895,11;797712,841;536342,727;574264,601;372195,58
dez/21;12450739,6;3499840,089;2028296,428;1646889,417;1189523,104;1124450,749;809179,843;784240,245;507815,915;500396,054;360107,753
jan/22;12239690,51;3582058,788;2020324,683;1641467,39;1159941,659;1010507,809;784945,303;746453,907;487791,083;472730,655;333469,237
fev/22;11846797,07;3336583,156;1951995,304;1578388,357;1116521,323;903658,066;803660,454;799645,002;511420,63;505668,562;339256,219
mar/22;12436689,19;3508798,096;2066793,645;1652328,061;1180663,667;1012183,62;847517,862;763425,314;503031,401;541849,912;360097,612
abr/22;12523356,1;3592759,443;2041796,469;1620477,617;1215782,418;1001971,501;862043,042;757065,25;531793,171;533586,907;366080,278
mai/22;12791400,29;3800221,208;2002327,306;1563933,542;1252500,941;1091817,675;856049,374;813634,837;520187,061;528437,373;362290,974
